pt_s,eta_s,phi_s,cha_s,fla_s,event
30.13412,-0.43358725,-2.2252505,1,3,2088
124.383064,-0.05051376,-1.1923541,1,3,2090
124.00077,-0.46040028,0.7942074,-1,3,2094
49.77698,-0.25516576,-1.7724473,1,3,2096
61.10868,-0.26006615,1.8396218,1,3,2104
90.85223,-0.7802316,-1.831072,-1,3,2105
47.408474,-0.032010544,-3.0389862,-1,3,2107
129.55185,-0.34833622,-2.1843376,1,3,2111
122.57078,0.5893362,-0.8884486,-1,3,2113
147.29158,0.085618325,-0.9378284,1,3,2118
41.282295,0.7598984,-1.4090987,-1,3,2122
132.37811,-0.17954506,1.4982622,-1,3,2124
54.11955,-1.4261415,-2.3477385,-1,3,2126
157.93512,0.083580524,-1.2478487,-1,3,2130
118.97707,-0.18152745,1.169865,-1,3,2132
39.691967,-1.0509151,1.3927768,1,3,2140
32.069057,1.3181632,-2.9159641,-1,3,2144
34.929,-0.7603428,-2.1319127,1,3,2147
37.233547,-0.33162078,0.49693915,1,3,2153
129.28545,-0.61899585,0.42324647,-1,3,2158
93.52847,0.6857523,2.393966,1,3,2161
100.55238,0.8261719,-0.08668683,-1,3,2162
105.65598,0.6295391,2.5921485,1,3,2172
121.209435,-0.019659553,1.1579072,1,3,2177
51.390118,-0.574617,0.9556892,-1,3,2179
35.995365,-0.2869823,-0.99968916,1,3,2181
42.296368,-0.24141243,1.7982136,1,3,2182
65.97356,1.0991304,-1.3334734,1,3,2184
138.28494,0.15777086,1.0952119,-1,3,2185
140.82832,-0.19268256,0.09986126,1,3,2190
50.274677,0.495627,-2.9207766,-1,3,2192
59.967453,-0.42436284,1.6551574,-1,3,2193
64.1823,0.10639467,0.68136984,1,3,2195
112.176834,-0.3819233,-0.37205046,1,3,2205
76.20095,-0.24157405,1.9724401,-1,3,2206
123.97764,-0.03984449,-1.9761775,-1,3,2208
78.19041,-0.9723323,0.9704358,-1,3,2213
165.24043,-0.14466682,1.253662,-1,3,2225
1.4960104,-0.2041835,-3.1204948,1,3,2233
74.54518,-1.0093127,0.866132,-1,3,2236
49.3216,0.6964859,-2.9843822,1,3,2241
31.499435,0.13882771,3.1304493,-1,3,2246
152.1636,0.34763634,0.36325604,-1,3,2248
38.49253,-0.51701343,-2.8806293,1,3,2249
26.564178,0.7087743,1.6600324,1,3,2264
33.653187,-0.3429705,1.2685891,1,3,2265
31.248608,-0.44862294,-1.3902618,-1,3,2268
112.19001,0.3973314,2.4498212,-1,3,2282
134.70502,0.24830568,1.5367529,-1,3,2291
42.701817,-0.14111803,2.649523,-1,3,2295
153.19156,0.27855387,1.9358141,1,3,2298
25.80007,0.077943325,2.892954,-1,3,2304
104.23021,0.3036601,1.3156209,-1,3,2310
47.80143,-0.024004623,0.6346228,-1,3,2314
100.53287,-0.75987875,-1.6305839,-1,3,2315
33.96389,-1.194886,1.8313341,1,3,2318
96.676414,1.1521639,0.0066634365,1,3,2329
13.76784,1.589657,-1.1300383,-1,3,2332
92.948616,-0.04131393,-2.8008037,1,3,2338
134.69116,-0.62894744,2.8259974,-1,3,2371
26.37858,-1.1016996,-0.15035202,-1,3,2375
132.51552,-0.3464138,3.0900755,1,3,2379
119.02275,0.2896988,2.3744116,-1,3,2380
118.87507,-0.047177617,-3.0180178,1,3,2387
122.726685,0.04498719,0.68535525,1,3,2389
54.249664,0.8333985,-0.7165759,1,3,2391
19.4236,-1.0068779,-0.8353188,1,3,2395
1.1567994,0.0064133108,0.1366381,1,3,2396
87.97762,-0.86941326,-1.4871714,1,3,2409
31.618696,-0.7238975,2.5497913,1,3,2411
50.218376,1.4190063,1.1525317,-1,3,2420
85.65661,-0.87220186,2.154314,1,3,2423
56.61657,0.0023893856,1.9982988,-1,3,2425
118.02889,0.26604828,-0.4084615,1,3,2429
30.517948,-0.7590751,0.04918327,-1,3,2432
65.07572,0.77312046,2.8405497,1,3,2445
60.08149,-0.47596738,-3.0200982,-1,3,2449
132.77017,0.6214707,-1.2068522,-1,3,2457
132.35588,0.13317528,1.5261458,-1,3,2472
36.80999,0.6269449,1.5163027,1,3,2482
39.7435,-0.26674268,1.0010659,-1,3,2492
115.14515,-0.22049199,1.1415513,1,3,2493
62.523865,-0.13403441,2.6216774,1,3,2495
41.13573,0.31829655,-2.5919755,-1,3,2502
101.49869,0.7365799,-2.1749744,1,3,2509
108.65952,0.6423952,-0.07704555,1,3,2518
122.91203,0.47778198,2.5369625,1,3,2520
92.066505,0.8834424,-1.9879587,1,3,2526
47.890446,-0.3732018,2.7857244,-1,3,2529
82.909966,-0.26969013,0.07121442,1,3,2541
135.24287,-0.28742534,-0.97585785,1,3,2543
83.89645,0.18533976,-0.80993253,1,3,2546
158.42705,0.1593669,-0.52525455,1,3,2551
18.085617,0.18354967,-2.8543587,1,3,2557
47.065575,-0.5422098,2.2675297,1,3,2568
42.822586,-0.53484094,0.68565744,-1,3,2569
116.28413,-0.66299844,1.6175079,1,3,2579
124.282036,0.26255548,-1.8181989,-1,3,2581
44.46338,-0.2083866,-0.89020604,1,3,2585
123.814255,0.032308064,-2.9394722,-1,3,2589
106.57431,-0.3392108,0.6940566,-1,3,2594
135.25754,-0.15635544,-2.515505,-1,3,2610
72.69412,0.19982159,2.8507128,-1,3,2620
21.858223,-1.5568367,-2.933702,-1,3,2625
46.40952,-0.2641598,-1.656077,-1,3,2633
30.230577,-0.83263576,-1.9557016,-1,3,2644
